registration,model,icao_type,variant,category,engine_type,engine_count,multi_pilot,Balloon_group,created_at,valid_from,country,,,,,,
01AAN,Flight Design CT,FDCT,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01AEG,Tecnam P92 Echo / Eaglet,ECHO,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01AHA,Aerospool WT-9 Dynamic,WT9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01KM,Rans S-6 Coyote 2,COY2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01TJ,FK-9 Mk.IV,FK9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01WE,P.2002 Sierra,SIRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01XD,Savage,SAVG,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
01YY,P.2002 Sierra,SIRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
02AAO,P.92 Echo,ECHO,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
02AGZ,,VL3,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
03AEF,,BREZ,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
04DW,WT9 Dynamic,WT9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
04FS,,WT9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
050RED,,PZ3T,,AEROPLANE,Turboprop,1,FALSE,,,,Poland,,,,,,
05JS,MCR-4 Pick Up,MCR4,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
06AAM,,FK9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08GT,,COY2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08JC,,PNR3,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08JJ,SkyRanger,SKRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08JN,SkyRanger,SKRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08KX,Pioneer 200,PNR2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08NJ,,SVNH,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
08NL,,NG5,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
09BC,,MCR1,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
0E-LLL,GVI (G650),GLF6,,AEROPLANE,Jet,2,TRUE,,,,Austria,,,,,,
10+01,,A359,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+03,A350-941,A359,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+23,Airbus A310-304,A310,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+24,Airbus A310 304 MRTT,A310,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+25,Airbus A310-304MRTT,A310,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+26,Airbus A310 304F,A310,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
10+27,Airbus A310 304MRTT,A310,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
11HA,Dynamic 15/430,ULAC,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
11HN,CT LS,FDCT,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
11IZ,Pinheiro Sport,ZZZZ,,_unknown_,,,FALSE,,,,France,,,,,,
12-14,,F18H,,AEROPLANE,Jet,2,FALSE,,,,Spain,,,,,,
12-73,,F18H,,AEROPLANE,Jet,2,FALSE,,,,Spain,,,,,,
12+03,CL-600-2A12 Challenger 601,CL60,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
13LZ,SkyRanger,SKRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
13SN,,FDCT,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
13SS,,ULAC,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
13UY,,ECHO,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
13WC,M-22 Voyager,MM22,,HELICOPTER,Piston,1,FALSE,,,,France,,,,,,
14+01,Bombardier Global 5000,GL5T,,AEROPLANE,Jet,2,FALSE,,,,Germany,,,,,,
14+02,Global 5000,GL5T,,AEROPLANE,Jet,2,FALSE,,,,Germany,,,,,,
14+03,Global 5000,GL5T,,AEROPLANE,Jet,2,FALSE,,,,Germany,,,,,,
14+04,Global 5000,GL5T,,AEROPLANE,Jet,2,FALSE,,,,Germany,,,,,,
14+05,Global 6000,GLEX,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
14+06,Global 6000,GLEX,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
14+07,Global 6000,GLEX,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+01,ACJ319 133X,A319,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+02,ACJ319 133X,A319,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+03,,A319,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+04,A321-231(CJ),A321,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+10,,A21N,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15+11,,A21N,,AEROPLANE,Jet,2,TRUE,,,,Germany,,,,,,
15ADA,,SVNH,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
16+01,A340 313X,A343,,AEROPLANE,Jet,4,TRUE,,,,Germany,,,,,,
16+02,A340 313X,A343,,AEROPLANE,Jet,4,TRUE,,,,Germany,,,,,,
16VD,,GYRO,,HELICOPTER,Piston,1,FALSE,,,,France,,,,,,
18MH,FK-9 Mk.IV,FK9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
19HT,,FDCT,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
2-SALE,,DA62,,AEROPLANE,Piston,2,FALSE,,,,Poland,,,,,,
21-AEM,,CH60,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21ABF,SkyRanger,SKRA,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21AEG,MCR-01 UL,MCR1,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21AEQ,,GUEP,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21AGN,WT9 Dynamic,WT9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21AHB,,MCR1,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
21AIF,,MCR4,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26AAO,Pioneer 300STD,PNR3,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26AAS,Pioneer 200,PNR2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26AGB,,PNR2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26WZ,WT9 Dynamic,WT9,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26YL,Pioneer 200,PNR2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
26YT,M-22 Voyager,MM22,,HELICOPTER,Piston,1,FALSE,,,,France,,,,,,
27-AEA,,ULAC,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
27AAB,Pioneer 200,PNR2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
28-AIZ,,FDCT,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
28ABB,Pioneer 300,PNR3,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
28AGW,Jabiru J170,JAB2,,AEROPLANE,Piston,1,FALSE,,,,France,,,,,,
3-XD,,MIR2,,AEROPLANE,Jet,1,FALSE,,,,France,,,,,,
3-XO,,MIR2,,AEROPLANE,Jet,1,FALSE,,,,France,,,,,,
3-XQ,,MIR2,,AEROPLANE,Jet,1,FALSE,,,,France,,,,,,
30-+70,Eurofighter EF-2000,EUFI,,AEROPLANE,Jet,2,FALSE,,,,Germany,,,,,,
