registration,model,icao_type,variant,category,engine_type,engine_count,multi_pilot,balloon_group,created_at
HB-1000,L 33 SÓLO,GLID,,SAILPLANE,,,FALSE,,
HB-1016,STANDARD LIBELLE,GLID,,SAILPLANE,,,FALSE,,
HB-1029,ASW 15,GLID,,SAILPLANE,,,FALSE,,
HB-1036,STANDARD LIBELLE 201 B,GLID,,SAILPLANE,,,FALSE,,
HB-1043,AN 17,GLID,,SAILPLANE,,,FALSE,,
HB-1052,KA 6CR,GLID,,SAILPLANE,,,FALSE,,
HB-1055,STANDARD LIBELLE,GLID,,SAILPLANE,,,FALSE,,
HB-1066,STANDARD LIBELLE 201 B,GLID,,SAILPLANE,,,FALSE,,
HB-1080,ELFE MK,GLID,,SAILPLANE,,,FALSE,,
HB-1082,STANDARD LIBELLE 201 B,GLID,,SAILPLANE,,,FALSE,,
HB-1087,ELFE 17,GLID,,SAILPLANE,,,FALSE,,
HB-1100,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1101,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1105,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1108,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1123,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1128,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1131,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1139,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1156,STANDARD LIBELLE 201 B,GLID,,SAILPLANE,,,FALSE,,
HB-1159,DUO DISCUS,GLID,,SAILPLANE,,,FALSE,,
HB-1182,ELFE 17A,GLID,,SAILPLANE,,,FALSE,,
HB-1227,SPERBER,GLID,,SAILPLANE,,,FALSE,,
HB-1233,STANDARD CIRRUS,GLID,,SAILPLANE,,,FALSE,,
HB-1245,RHÖNLERCHE II,GLID,,SAILPLANE,,,FALSE,,
HB-1249,CLUB LIBELLE 205,GLID,,SAILPLANE,,,FALSE,,
HB-1252,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1255,B4-PC 11A,GLID,,SAILPLANE,,,FALSE,,
HB-1257,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1268,CLUB LIBELLE 205,GLID,,SAILPLANE,,,FALSE,,
HB-1275,ELFE 17A,GLID,,SAILPLANE,,,FALSE,,
HB-1295,HORNET,GLID,,SAILPLANE,,,FALSE,,
HB-1296,HORNET,GLID,,SAILPLANE,,,FALSE,,
HB-1314,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1320,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-1321,B4-PC 11AF,GLID,,SAILPLANE,,,FALSE,,
HB-138,SG 38,GLID,,SAILPLANE,,,FALSE,,
HB-1388,SZD-41A,GLID,,SAILPLANE,,,FALSE,,
HB-1395,MINI-NIMBUS HS 7,GLID,,SAILPLANE,,,FALSE,,
HB-1410,DG-200,GLID,,SAILPLANE,,,FALSE,,
