ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
ZZZZ,_unknown_,_undefined,_unknown_,_unknown_,null
BALL,Balloon,_ undefined Balloon,Balloon,No engine,0
GLID,Landplane,_ undefined Glider,Glider,No engine,0
UHEL,Helicopter,_ undefined Helicopter,Helicopter,_unknown_,null
ULAC,Landplane,_ undefined Ultralight,Ultralight,Piston,1
GYRO,Gyrocopter,_ undefined Gyro,General Aviation,Piston,1
A109,Helicopter,AgustaWestland AW109S Grand,Helicopter,Turboprop,2
C130,Landplane,Lockheed AC-130,Other military,Turboprop,4
EH10,Helicopter,AgustaWestland CH-149 Cormorant,Helicopter,Turboprop,3
H500,Helicopter,Boeing AH-6,Military Helicopter,Turboprop,1
B721,Landplane,Boeing 727 family,Passenger Airliner,Jet,3
B731,Landplane,Boeing 737-100,Passenger Airliner,Jet,2
B741,Landplane,Boeing 747 family,Passenger Airliner,Jet,4
B772,Landplane,Boeing 777 family,Passenger Airliner,Jet,2
BE19,Landplane,Beechcraft CT-134 Musketeer,Military Trainer,Piston,1
H64,Helicopter,Boeing-Sikorsky RAH-66 Comanche,Military Helicopter,Turboprop,2
B752,Landplane,Boeing C-32,Military Cargo,Jet,2
B737,Landplane,Boeing C-40 Clipper,Military Cargo,Jet,2
C919,Landplane,Comac C919,Passenger Airliner,Jet,2
B701,Landplane,Boeing CC-137,Military Cargo,Jet,4
C337,Landplane,Cessna O-2 Skymaster,Other military,Piston,2
CAD2,Landplane,BushCaddy R-120,General Aviation,Piston,1
CAD4,Landplane,BushCaddy L-162 Max,General Aviation,Piston,1
CAD4,Landplane,BushCaddy L-164,General Aviation,Piston,1
DC3T,Landplane,Conroy Tri-Turbo-Three,Cargo Airliner,Turboprop,3
CONC,Landplane,Aérospatiale-BAC Concorde,Passenger Airliner,Jet,4
DC3T,Landplane,Conroy Turbo-Three,Cargo Airliner,Turboprop,2
C172,Landplane,Cessna T-41 Mescalero,Military Trainer,Piston,1
D6SL,Landplane,The Airplane Factory D-6 Sling,General Aviation,Piston,1
ACRD,Landplane,Discovery Aviation Model 201,General Aviation,Piston,2
DC3,Landplane,Douglas C-47 Skytrain,Military Cargo,Piston,2
DC4,Landplane,Douglas C-54 Skymaster,Military Cargo,Piston,4
DC85,Landplane,Douglas DC-8 family,Passenger Airliner,Jet,4
DC91,Landplane,McDonnell Douglas DC-9 family,Passenger Airliner,Jet,2
ELIT,Landplane,Epic E1000,General Aviation,Turboprop,1
B742,Landplane,Boeing E-4 Advanced Airborne Command Post,Other military,Jet,4
