easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
AT - 3A- 1031,SN-FFT-2114,R,Not Applicable,B777-300ER,Thomson Training & Simulation,D,Paris CDG
AT - FFS - 1112,2TE3-787,R,Embraer,A330-200,CAE,D,Paris CDG
AT - FFS - 1154,FFS-ATR-09,R,ATR,A220-300 + variants,CAE,D,Paris CDG
AT - FFS - 1185,117769 – 1756,R,Airbus,AW139,CAE,D,Sesto Celende (VA)
AT - FNPT - 1002,AS-AT-FTC-OG-B2,R,ATR,Not Applicable,ENTROL,Type II MCC,Rieti
AT - FNPT - 1003,SN-FFT-2114,R,Not Applicable,Generic Multi Engine Piston,Alsim,2,Roma Urbe
AT - FNPT - 1006,83-60089-C-3EX,S,Not Applicable,Not Applicable + variants,Alsim,2,Roma Urbe
AT - FNPT - 1020,D-SIM-DA42-NG-8,R,Not Applicable,Not Applicable + variants,Alsim,Type II,Roma Urbe
AT - FNPT - 1022,SimID 14-60022-,R,Not Applicable,Generic Single Engine Piston + variants,Alsim,2,Malpensa (LIMC)
AT - FNPT - 1030,83-60089-C-3EX,R,Not Applicable,Generic Multi Engine Piston,Alsim,Type II,Malpensa airport
AT - FNPT - 1033,D-SIM-DA42-NG-8,R,Not Applicable,Generic Multi Engine Piston,Alsim,Type II,Malpensa airport
AT - FNPT - 1047,SIM ID 144-6014,R,Not Applicable,AW169,CAE,D,Sesto Calende
AT - FNPT - 1066,S/N: ALX 11-2,R,Not Applicable,Not Applicable,ENTROL,Type II MCC,Rieti
AT - FNPT - 1070,31-60039-C-3EX,R,Not Applicable,A 109 E,CAE,D,Sesto Celende (VA)
AT - FNPT - 1102,SIM ID S923/101,R,ATR,EC 135 T + variants,ENTROL,2,Angoulême Airport
AT - FNPT - 1105,S923/101-60101-,R,Not Applicable,B787-9,L3 CTS Ltd,D,Paris CDG
AT - FNPT - 1416,DSIM-CONVNG-005,R,Not Applicable,A320-200,Thomson Training & Simulation,D,Toulouse Airport
AT - FNPT - 1438,2311022,I,Not Applicable,A320-200,Thales Training and Simulation,D,Toulouse Airport
AT - FNPT - 1442,2511011,I,Not Applicable,A320-200 + variants,CAE,D,Paris CDG
AT-1A-1041,2RYA-641,R,Airbus,B777-300ER,L3 CTS Ltd,1,Roissy
AT-FFS-1042,CAE SN2-WAN-763,R,De Havilland - Canada,A320-200,Thales Training and Simulation,D,Toulouse Airport
AT-FFS-1060,FFS-XLS-02,R,Cessna,A320-200 + variants,CAE,D,Paris CDG
AT-FFS-1080,FFS-ATR-03,R,ATR,AW189 + variants,CAE,D,Sesto Calende
AT-FFS-1088,FFS-ATR-03,R,ATR,AS 365 N 2,Thales Training and Simulation,D,Marseille Airport
AT-FFS-1163,FFS-CJ1Plus-11,R,Cessna,42-500,Thomson Training & Simulation,DG,Toulouse Airport
AT-FFS-1372,127 586,R,Airbus,B777-300ER,Thales Training and Simulation,D,Paris CDG
AT-FFS-1411,FFS-CL350-16,R,Bombardier,72-200,Thomson Training & Simulation,CG,Toulouse Airport
AT-FFS-1417,131300,R,Boeing,AS 365 N 3 + variants,Thales Training and Simulation,B,Angoulême Airport
AT-FFS-1440,80179,S,Airbus Helicopters,AS 365 N 3 + variants,Thales Training and Simulation,B,Angoulême Airport
AT-FFS-1441,80170,I,Airbus Helicopters,AS 365 N 3,Thales Training and Simulation,3,Angoulême Airport
AT-FNPT-1119,ALX 38,R,Not Applicable,AS 365 N 3,Thales Training and Simulation,3,Angoulême Airport
AT-FNPT-1120,ALX 38,R,Not Applicable,EMB 170 + variants,FSI,D,Paris Le Bourget Airport
AT-FNPT-1221,136-60134-M-1EX,R,Not Applicable,A320-200 + variants,AMST-Aviation,D,Morlaix Airport
AT-FNPT-1240,L2830,R,Not Applicable,A320-200,AMST-Aviation,D,Morlaix Airport
AT-FNPT-1255,ALX 11-4,R,ATR,Falcon 900 + variants,FSI,Special Category,Paris Le Bourget Airport
AT-FNPT-1280,AL200/A2M29,R,Cessna,S-64F,ENTROL,2,Rieti airport
AT-FNPT-1288,Reiser 129441,R,Not Applicable,HA160-B,Thales Training and Simulation,D,Marseille Airport
AT-FNPT-1292,23-60031-C-3EX,I,ELITE,Falcon 7x + variants,FSI,D,Paris Le Bourget Airport
AT-FNPT-1293,DA42-002,R,Not Applicable,B777-300ER,Thales Training and Simulation,D,Paris CDG
AT-FNPT-1294,DA42-002,R,Not Applicable,72 - 600 + variants,CAE,D,Toulouse Airport
AT-FNPT-1367,FFT 2025,R,Cessna,Pilatus PC 24,FSI,D,Le Bourget Airport
AT-FNPT-1405,MSN 003,R,Not Applicable,A220-300 + variants,CAE,D,Roissy CDG
AT-FNPT-1418,DSIM-DA42NG-005,R,Not Applicable,Generic Multi Engine Piston + variants,Diamond Aircraft Industries GmbH.,Type II,Rostock-Laage
AT-FNPT-1443,2511011,I,Not Applicable,Generic Single Engine Piston,Alsim,Type II,Liebenscheid
AT-FTD-1239,L2830,R,Airbus,Generic Multi Engine Piston,Alsim,Type II,Liebenscheid
AT-FTD-1287,Reiser 129441,R,Airbus Helicopters,AW139,CAE,D,Sesto Celende (VA)
AT-FTD-1366,FFT 2025,R,Cessna,A400M + variants,Thales Training and Simulation,D,Wunstorf
AT-FTD-1407,2024-001,R,Airbus Helicopters,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
B-004,XXXX,R,Boeing,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
BE-001,50237,R,British Aerospace/AVRO,Generic Single Engine Piston,Alsim,Type II,Egelsbach
BE-002,0,R,Lockheed,228 + variants,Euramec N.V.,2,Oberpfaffenhofen
BE-005,UAL N552 UA,R,Boeing,Generic Multi Engine Piston + variants,Diamond Aircraft Industries GmbH.,Type II,Rostock-Laage
BE-006/GE,VS 095,R,Boeing,A400M + variants,Thales Training and Simulation,1,Wunstorf
BE-006/PW,VS 095,R,Boeing,A400M + variants,Thales Training and Simulation,D,Wunstorf
BE-008,46 658 027,R,Airbus,EMB190,CAE,D,Frankfurt
BE-009/GE,46 658 027,R,Airbus,Generic Multi Engine Piston,Frasca Internatinal Inc.,Type II,Essen
BE-009/PW,46 658 027,R,Airbus,A220-300 + variants,CAE,1,Roissy CDG
BE-010,3,R,Airbus,A320-200,MULTI PILOT SIMULATIONS,1,Essen
BE-011,2H63504899,R,Boeing,Falcon 7x,FSI,D,Paris Le Bourget
BE-012,2H63504899,R,Boeing,Generic Single Engine Piston,Alsim,Type II,Egelsbach
BE-014,Rediffusion 006,R,Dornier,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
BE-015,2-RE 6-440,R,ATR,Generic Single Engine Piston,Diamond Aircraft Industries GmbH.,Type II,Egelsbach
BE-016,2RE 6-440,R,ATR,B777-300ER,Thales Training and Simulation,D,Paris CDG
BE-018,2WAP,R,Boeing,Generic Multi Engine Piston,ENTROL,Type II,Worms
BE-019/CFM,2WB1,R,Airbus,A320-200,CAE,D,Essen
BE-019/IAE,2WB1,R,Airbus,A350-900,CAE,2,München
BE-021/PW,2TJF-1009/2011,I,Airbus,Generic Multi Engine Piston + variants,Diamond Aircraft Industries GmbH.,Type II,Rostock-Laage
BE-021/RR,2TJF-1009/2011,I,Airbus,A220-300,CAE,D,Roissy CDG
